locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
217,"Experimental Primary School, Dandong",,39.887343,124.158056,191,143,1,37,77,24,10,4,1016,55,1,20141101010000
218,Dandong,,40.002046,124.360479,191,143,3,37,77,25,10,4,1016,55,1,20141101010000
1106,"minzhu bridge, Dandong , Dandong",,40.112974,124.373604,206,158,2,41,61,24,10,4,1016,55,1,20141101010000
1107,"yuanbaoshan, Dandong , Dandong",,40.146298,124.399081,181,121,3,23,33,16,10,4,1016,55,1,20141101010000
1108,"linjiang houjie, Dandong , Dandong",,40.152757,124.431745,162,96,3,31,58,13,10,4,1016,55,1,20141101010000
219,"BDA, Panjin",,41.157144,122.06645,458,389,3,41,20,26,11,1,0,50,3,20141101010000
220,"Xinglongtai, Panjin",,41.140948,122.111343,438,365,1,33,17,20,11,1,0,50,3,20141101010000
221,"Dingxiang, Panjin",,41.16139,121.928781,362,186,5,31,6,16,11,1,0,50,3,20141101010000
222,Panjin,,41.122089,122.076206,458,389,5,41,20,26,11,1,0,50,3,20141101010000
223,"No.3 water company, Yingkou",,40.682052,122.385352,275,193,9,34,20,18,8,5,1018,73,1,20141101010000
224,"Yingkou University, Yingkou",,40.683689,122.388285,221,188,6,35,14,19,8,5,1018,73,1,20141101010000
225,"Botanical garden, Yingkou",,40.711674,122.281568,319,174,5,31,8,19,8,5,1018,73,1,20141101010000
226,Yingkou,,40.668578,122.24059,319,174,5,31,8,19,8,5,1018,73,1,20141101010000
1109,"jinghu west street, Yingkou , Yingkou",,40.653831,122.221943,275,193,9,34,20,18,8,5,1018,73,1,20141101010000
1110,"Daqing Road , Yingkou , Yingkou",,40.709181,122.28243,319,174,5,31,8,19,8,5,1018,73,1,20141101010000
227,"Xishanpo, Huludao",,40.724078,120.921974,254,470,4,38,54,22,,,0,,,20141101010000
228,"Huagong hospital, Huludao",,40.755662,120.848435,191,232,4,32,55,15,,,0,,,20141101010000
229,"New district park, Huludao",,40.723415,120.853801,192,338,9,37,80,27,,,0,,,20141101010000
230,"Lianshan district governement, Huludao",,40.775488,120.872292,193,272,3,37,36,22,,,0,,,20141101010000
231,Huludao,,40.712501,120.842107,254,470,9,38,80,27,,,0,,,20141101010000
1111,"Dongcheng District , Huludao , Huludao",,40.775362,120.871706,193,272,3,37,36,22,,,0,,,20141101010000
1112,"huagong street, Huludao , Huludao",,40.758901,120.842935,191,232,4,32,55,15,,,0,,,20141101010000
232,Anshan,,41.110466,123.000147,630,779,3,51,35,45,7,4,1017,81,2,20141101010000
233,"Qianshan Park, Anshan",,41.033486,123.143897,588,824,3,41,11,25,8,4,1017,76,2,20141101010000
234,"Tiexi, Anshan",,41.121636,122.97506,566,777,2,32,30,33,8,4,1017,76,2,20141101010000
235,"Taiping Station, Anshan",,41.153322,123.052433,566,671,3,33,58,40,8,4,1017,76,2,20141101010000
236,"Central Station, Anshan",,41.106731,123.002736,609,685,3,49,52,41,8,4,1017,76,2,20141101010000
237,"Shengou Temple, Anshan",,41.137157,123.031901,606,891,3,58,44,38,7,4,1017,81,2,20141101010000
1113,"Qianshan , Anshan , Anshan",,41.014521,123.122538,588,824,3,41,11,27,7,4,1017,81,2,20141101010000
1114,"Tiexi Sandao jie, Anshan",,41.103264,122.978613,566,777,2,32,30,34,7,4,1017,81,2,20141101010000
1115,"Taiyang, Anshan",,41.094946,123.019037,614,688,4,51,57,41,8,4,1017,76,2,20141101010000
238,Fushun,,41.883028,123.962984,557,775,1,64,57,60,8,4,1017,76,3,20141101010000
239,"Shenfu new town, Fushun",,41.804638,123.631684,580,676,12,43,37,17,7,4,1017,81,2,20141101010000
240,"Reservoir, Fushun",,41.8464,123.802857,580,756,2,57,32,60,8,4,1017,76,3,20141101010000
241,"Train Station, Fushun",,41.89726,124.017604,646,734,3,44,57,32,8,4,1017,76,3,20141101010000
242,"Dongzhou, Fushun",,41.855578,124.044738,97,869,4,53,59,28,8,4,1017,76,3,20141101010000
243,"Xinhua, Fushun",,41.888598,123.932932,613,739,3,67,57,35,8,4,1017,76,3,20141101010000
244,"Wanghua, Fushun",,41.888825,123.093723,517,638,22,57,70,30,8,4,1017,76,3,20141101010000
245,Benxi,,41.296267,123.772371,674,888,3,84,48,62,7,4,1017,81,2,20141101010000
246,"Weining, Benxi",,41.349663,123.826071,533,679,31,54,3,25,8,4,1017,76,2,20141101010000
247,"Occupational disease hospital, Benxi",,41.305432,123.74645,545,594,2,39,16,56,8,4,1017,76,2,20141101010000
248,"Dongming, Benxi",,41.292369,123.765058,712,-,2,60,59,56,7,4,1017,81,2,20141101010000
249,"Caitun, Benxi",,41.301591,123.746039,674,888,3,84,18,62,8,4,1017,76,2,20141101010000
250,"Xihu, Benxi",,41.331332,123.773537,666,641,3,59,48,47,8,4,1017,76,2,20141101010000
251,"Dayu, Benxi",,41.308091,123.818442,617,526,2,67,36,43,8,4,1017,76,2,20141101010000
1116,"Xinlitun , Benxi , Benxi",,41.264104,123.811523,635,648,2,66,48,57,8,4,1017,76,2,20141101010000
252,Jinzhou,,41.097169,121.132647,401,340,4,43,85,28,8,4,1019,67,1,20141101010000
253,"Beihu Park, Jinzhou",,41.141447,121.137339,215,168,2,38,45,23,8,4,1019,67,1,20141101010000
254,"Monitoring station, Jinzhou",,41.113441,121.140911,346,310,3,44,76,18,8,4,1019,67,1,20141101010000
255,"Nanshan, Jinzhou",,41.570689,122.046753,230,163,2,28,32,28,8,4,1019,67,1,20141101010000
1118,"BDA, Jinzhou",,40.853915,121.061756,253,168,2,41,85,21,8,4,1019,67,1,20141101010000
1119,"tianan street, Jinzhou , Jinzhou",,41.124468,121.126119,356,340,3,43,62,19,8,4,1019,67,1,20141101010000
1120,"baigu street, Jinzhou, Jinzhou",,41.12214,121.21027,401,288,4,35,19,27,8,4,1019,67,1,20141101010000
1121,Chaoyang,,41.576022,120.456053,422,445,5,42,32,46,-,-,0,-,-,20141101010000
472,"Fukang road, Tianjin",,39.098136,117.157621,223,99,6,32,6,24,13,8,1020,72,4,20141101010000
1122,"Agricultural Area, Chaoyang",,43.93968,125.247371,459,242,5,13,10,23,6,2,1019,74,2,20141101010000
1123,Tieling,,42.225197,123.732174,424,398,28,31,26,21,-,-,0,-,-,20141101010000
260,"Waterpark, Tieling",,42.297031,123.880748,422,605,5,25,26,21,8,4,1017,76,2,20141101010000
1124,"Huigong Street West , Tieling , Tieling",,42.311115,123.845614,424,292,10,21,12,17,8,4,1017,76,2,20141101010000
1125,Liaoyang,,41.269312,123.24268,285,419,3,39,59,26,-,-,0,-,-,20141101010000
1126,"Riverside Road , Liaoyang , Liaoyang",,41.176884,123.419859,447,235,1,29,27,26,8,4,1017,76,2,20141101010000
1127,Fuxin,,42.02373,121.675733,238,152,7,31,38,19,-,-,0,-,-,20141101010000
266,"Agricultural Area, Fuxin",,42.071291,121.696445,195,104,4,17,24,6,11,-1,0,41,5,20141101010000
267,"Industrial Area, Fuxin",,42.041052,121.715554,390,357,4,36,23,20,10,0,0,50,4,20141101010000
1128,"Yulong Metro , Fuxin , Fuxin",,42.035091,121.666531,187,175,2,28,22,25,10,0,0,50,4,20141101010000
1129,"Dongyuan , Fuxin , Fuxin",,42.029119,121.681553,242,338,7,38,38,17,10,0,0,50,4,20141101010000
268,"City Monitoring Station, Jinan",,36.662614,117.054645,172,102,1,28,26,9,13,12,1020,98,1,20141101010000
269,"Shandong Institute of Economics, Jinan",,36.63819,117.074975,-,-,-,-,-,-,-,-,0,-,-,20141101010000
270,"Quancheng Plaza, Jinan",,36.661711,117.027043,163,85,5,20,18,10,12,11,1019,97,2,20141101010000
271,"Kegansuo, Jinan",,36.611582,116.99384,163,111,2,34,13,10,13,12,1020,98,1,20141101010000
272,"Agriculture Science Institute, Jinan",,36.663115,116.95063,167,101,10,28,9,8,13,12,1020,98,1,20141101010000
273,"Lanxiang technical school, Jinan",,36.700421,116.95342,163,88,2,16,18,9,13,12,1020,98,1,20141101010000
274,"Chemical factory, Jinan",,36.687463,116.994406,165,77,1,28,16,8,13,12,1020,98,1,20141101010000
275,"Provincial Seed Warehouse, Jinan",,36.685706,117.066348,157,77,2,22,16,8,13,12,1020,98,1,20141101010000
276,"Shandong Architecture University, Jinan",,36.681732,117.191868,164,107,6,17,16,14,13,12,1020,98,1,20141101010000
277,"Baosheng cable company, Jinan",,36.724638,117.130855,161,96,1,23,12,7,13,12,1020,98,1,20141101010000
278,"Paomaling, Jinan",,36.47869,117.219027,53,17,28,6,19,10,13,12,1020,98,1,20141101010000
279,"Changqing District Communist Party School, Jinan",,36.548797,116.770859,160,111,5,24,14,9,13,12,1020,98,1,20141101010000
280,"BDA, Jinan",,36.685835,117.130851,158,83,15,26,13,12,13,12,1020,98,1,20141101010000
281,Jinan,,36.651426,117.126625,172,102,1,28,26,9,13,12,1020,98,1,20141101010000
282,"Shinan district No. 1, Qingdao",,36.065534,120.40839,151,78,10,27,9,7,15,11,1018,77,4,20141101010000
283,"Shibei district No. 1, Qingdao",,36.069919,120.341264,151,53,10,26,14,11,15,11,1018,77,4,20141101010000
284,"Shibei district No. 2, Qingdao",,36.104146,120.36637,137,69,12,23,10,9,15,11,1018,77,4,20141101010000
285,"Huangdao District No. 1, Qingdao",,35.958935,120.191041,155,91,15,30,24,7,15,11,1018,77,4,20141101010000
286,"Huangdao District No. 2, Qingdao",,35.970487,120.160339,160,55,21,11,10,4,15,11,1018,77,4,20141101010000
287,"Laoshan District No. 1, Qingdao",,36.085881,120.451839,155,50,11,24,14,6,15,11,1018,77,4,20141101010000
288,"Laoshan District No. 2, Qingdao",,36.091075,120.490388,147,75,20,11,15,4,15,11,1018,77,4,20141101010000
289,"Licang District No. 1, Qingdao",,36.184872,120.38533,142,74,10,20,6,11,15,11,1018,77,4,20141101010000
290,"Licang District No. 2, Qingdao",,36.154369,120.432287,137,58,13,19,8,8,15,11,1018,77,4,20141101010000
291,"Chengyang District No. 1, Qingdao",,36.308502,120.40008,159,3,15,21,16,5,15,11,1018,77,4,20141101010000
292,"Chengyang District No. 2, Qingdao",,36.308429,120.465806,155,20,16,12,14,7,15,11,1018,77,4,20141101010000
293,Qingdao,,36.067358,120.387773,151,78,10,27,9,7,15,11,1018,77,4,20141101010000
294,"Zichuan Meteo. Stations, Zibo",,36.637916,117.960222,-,-,-,-,-,-,-,-,0,-,-,20141101010000
295,"Dongfeng Chemical factory, Zibo",,36.838576,118.050785,151,81,2,32,36,14,15,11,0,75,2,20141101010000
296,"Boshan shuangshan, Zibo",,36.497278,117.853581,184,125,1,33,67,27,15,11,0,75,2,20141101010000
297,"Linzi Putian Park, Zibo",,36.820171,118.315022,76,53,5,29,35,11,15,11,0,75,2,20141101010000
298,"Qilu Petrochemical, Zibo",,36.765907,118.254967,154,64,3,27,30,10,15,11,0,75,2,20141101010000
299,"Zhoucun sanjin Group, Zibo",,36.8044,117.85694,144,80,7,26,44,15,15,11,0,75,2,20141101010000
300,"Vocational College, Zibo",,36.825208,117.926305,157,88,1,22,27,16,15,11,0,75,2,20141101010000
301,"BDA, Zibo",,36.905214,118.021824,107,74,2,16,16,8,15,11,0,75,2,20141101010000
302,Zibo,,36.813618,118.060948,184,125,2,38,110,27,15,11,0,75,2,20141101010000
303,"Shizhong District Government, Zaozhuang",,34.850397,117.569545,114,62,13,17,47,11,15,14,1019,89,0,20141101010000
304,"Sewage treatment plant, Zaozhuang",,34.818951,117.595345,114,43,8,18,22,14,15,14,1019,89,0,20141101010000
305,"Xuecheng EPA, Zaozhuang",,34.790214,117.272455,201,127,4,24,60,9,15,14,1019,89,0,20141101010000
306,"Yicheng District government, Zaozhuang",,34.772806,117.57647,99,60,8,24,14,6,15,14,1019,89,0,20141101010000
307,"Taierzhuang EPA, Zaozhuang",,34.579462,117.741067,144,73,6,25,17,9,15,14,1019,89,0,20141101010000
308,"Shanting EPA, Zaozhuang",,35.070373,117.457691,164,97,6,22,16,13,15,14,1019,89,0,20141101010000
309,"City EPA, Zaozhuang",,34.809466,117.320608,185,118,3,22,52,7,15,14,1019,89,0,20141101010000
310,"High-tech zone, Zaozhuang",,34.821779,117.363495,171,97,8,18,61,10,15,14,1019,89,0,20141101010000
311,Zaozhuang,,34.809693,117.329634,114,62,13,17,47,11,15,14,1019,89,0,20141101010000
312,"City EPA, Dongying",,37.432052,118.672871,161,95,12,23,22,15,16,11,0,74,4,20141101010000
313,"Vocational College, Dongying",,37.438653,118.630567,161,101,11,22,22,13,16,11,0,74,4,20141101010000
314,"Xianhe Oil Production Plant, Dongying",,37.442419,118.510222,159,87,11,21,11,15,16,11,0,74,4,20141101010000
315,"Gengjin village, Dongying",,37.445072,118.55839,157,90,10,21,14,12,16,11,0,74,4,20141101010000
316,"City environmental company, Dongying",,37.466599,118.508012,158,84,10,26,11,10,16,11,0,74,4,20141101010000
317,"Hekou  district, Dongying",,37.883786,118.522171,195,136,18,21,7,8,16,11,0,74,4,20141101010000
318,"BDA, Dongying",,37.435162,118.701827,166,95,17,23,17,16,16,11,0,74,4,20141101010000
319,Dongying,,37.435429,118.680434,161,95,12,23,22,15,16,11,0,74,4,20141101010000
320,"Bearing Factory, Yantai",,37.544126,121.376956,237,91,22,24,11,10,,,0,,,20141101010000
321,"Xijiao Chemical Station, Yantai",,37.547148,121.323695,172,69,21,26,46,10,,,0,,,20141101010000
322,"Fushan Monitoring Stations, Yantai",,37.472245,121.260116,153,88,23,6,10,7,,,0,,,20141101010000
323,"Mouping EPA, Yantai",,37.376681,121.586509,159,87,16,25,4,11,,,0,,,20141101010000
324,"Laishan EPA, Yantai",,37.478422,121.44829,177,88,31,28,9,5,,,0,,,20141101010000
325,"Laishan Shengquan Industrial Park, Yantai",,37.4271,121.408386,170,82,17,23,16,2,,,0,,,20141101010000
326,"China Agricultural University, Yantai",,37.423568,121.511838,162,76,22,25,10,6,,,0,,,20141101010000
327,"BDA EPA, Yantai",,37.560827,121.257954,174,88,21,14,5,7,,,0,,,20141101010000
329,"Dajijia, Yantai",,37.673849,121.071465,157,72,28,6,5,6,,,0,,,20141101010000
330,Yantai,,37.464793,121.453142,237,91,22,24,11,10,,,0,,,20141101010000
331,"BDA, Weifang",,36.720022,119.054064,160,75,12,16,13,4,,,0,,,20141101010000
332,"Business School, Weifang",,36.682442,119.105909,151,66,15,14,14,5,,,0,,,20141101010000
333,"Hanting District, Weifang",,36.773484,119.199705,175,98,17,13,13,4,,,0,,,20141101010000
334,"Gongda Company, Weifang",,36.657635,119.167266,159,76,19,23,10,5,,,0,,,20141101010000
335,"City EPA, Weifang",,36.701272,119.16838,163,85,19,18,10,4,,,0,,,20141101010000
336,"City Arbitration Committee, Weifang",,36.702422,119.145927,164,76,25,16,14,7,,,0,,,20141101010000
337,"Xinhui Group, Weifang",,36.641581,119.11679,155,74,17,19,20,6,,,0,,,20141101010000
338,"Jincheng Middle School, Weifang",,36.773611,119.115539,163,83,23,11,9,5,,,0,,,20141101010000
339,Weifang,,36.707217,119.167638,164,85,14,17,16,8,,,0,,,20141101010000
340,"City Monitoring Station, Jining",,35.408443,116.623917,164,84,4,23,41,10,14,13,1020,90,1,20141101010000
1090,"Shengdi Hollidays Resort, Jining",,35.424746,116.699093,157,70,4,24,25,9,14,13,1020,90,1,20141101010000
341,"Sewage treatment plant, Jining",,35.364286,116.609177,162,70,4,23,30,11,14,13,1020,90,1,20141101010000
342,"Electrochemical Factory, Jining",,35.390473,116.552956,162,94,4,22,25,14,14,13,1020,90,1,20141101010000
343,"Rencheng BDA, Jining",,35.390484,116.662995,157,72,8,23,27,13,14,13,1020,90,1,20141101010000
344,"Agricultural School, Jining",,35.44235,116.601682,167,95,2,22,27,7,14,13,1020,90,1,20141101010000
345,"BDA Huojucheng, Jining",,35.436377,116.642953,162,81,4,20,44,10,14,13,1020,90,1,20141101010000
346,Jining,,35.414473,116.59239,164,84,8,23,41,10,14,13,1020,90,1,20141101010000
347,"Taishan monitoring station, Taian",,36.194362,117.159648,170,101,1,28,20,16,5,5,0,98,2,20141101010000
348,"Shandong Electric Power School, Taian",,36.176071,117.12413,155,77,10,28,11,14,5,5,0,98,2,20141101010000
349,"Population Education school, Taian",,36.194417,117.104131,163,83,2,22,14,12,5,5,0,98,2,20141101010000
350,"Houfeng company, Taian",,36.204863,117.19015,162,93,2,26,9,17,5,5,0,98,2,20141101010000
351,"Nongda new campus, Taian",,36.170179,117.165191,163,114,3,38,31,20,5,5,0,98,2,20141101010000
352,"Transportation technical school, Taian",,36.202126,117.047068,132,63,2,20,9,15,5,5,0,98,2,20141101010000
353,"ICT Technology, Taian",,36.116621,117.107458,159,83,7,24,18,15,5,5,0,98,2,20141101010000
354,Taian,,36.200502,117.093682,170,101,1,28,20,16,5,5,0,98,2,20141101010000
355,"City Environmental Monitoring Station, Weihai",,37.513939,122.067058,175,89,31,16,5,6,16,11,0,76,5,20141101010000
356,"Woodworking Factory, Weihai",,37.325455,122.160777,163,71,33,13,6,4,16,11,0,76,5,20141101010000
357,"Lantian Hotel, Weihai",,37.514641,122.146276,172,81,34,11,7,8,16,11,0,76,5,20141101010000
1233,"City Mine station dormitory building , Wenchang",,19.61896,110.752145,,30,,8,1,,,,,,,20141101040000
358,"Zhang village government, Weihai",,37.485561,122.049436,169,69,28,9,5,8,16,11,0,76,5,20141101010000
359,"Gao District Bank, Weihai",,37.534919,122.056294,178,94,33,8,3,4,16,11,0,76,5,20141101010000
360,"Huxia technical school, Weihai",,37.427951,122.130811,168,80,34,11,3,4,16,11,0,76,5,20141101010000
361,Weihai,,37.5141,122.125477,175,89,31,16,5,6,16,11,0,76,5,20141101010000
362,"City governement square, Rizhao",,35.4075,119.526008,151,57,16,5,6,5,15,14,1019,93,1,20141101010000
363,"Port Authority, Rizhao",,35.381297,119.55396,151,57,16,11,5,6,15,14,1019,93,1,20141101010000
364,"City Monitoring Station, Rizhao",,35.388683,119.496405,157,66,12,15,5,5,15,14,1019,93,1,20141101010000
365,"Professor Garden, Rizhao",,35.462161,119.574193,152,76,20,9,7,5,15,14,1019,93,1,20141101010000
366,"Vocational and Technical College, Rizhao",,35.441939,119.538187,152,57,17,7,6,6,15,14,1019,93,1,20141101010000
367,"Lanshan EPA branch, Rizhao",,35.293405,119.345716,151,59,13,12,12,6,15,14,1019,93,1,20141101010000
368,"Jinma Industrial Park, Rizhao",,35.373339,119.514108,154,65,10,15,11,4,15,14,1019,93,1,20141101010000
369,Rizhao,,35.416089,119.532316,151,57,16,5,6,5,15,14,1019,93,1,20141101010000
370,"Vegetable oil factory, Laiwu",,36.205028,117.700917,164,69,3,28,57,9,14,11,1020,83,1,20141101010000
371,"Nursing home, Laiwu",,36.266067,117.652769,157,87,11,19,38,19,14,11,1020,83,1,20141101010000
372,"Xinyi middle school, Laiwu",,36.245086,117.739025,151,61,3,29,60,14,14,11,1020,83,1,20141101010000
373,"Risheng International School, Laiwu",,36.208125,117.730959,162,83,2,17,57,12,14,11,1020,83,1,20141101010000
374,"Gangcheng EPA, Laiwu",,36.066836,117.871823,154,67,2,28,66,9,14,11,1020,83,1,20141101010000
375,"City EPA, Laiwu",,36.228913,117.694797,149,72,2,3,52,13,14,11,1020,83,1,20141101010000
376,Laiwu,,36.213688,117.682612,164,69,3,28,57,9,-,-,0,-,-,20141101010000
377,"Lunan Pharmaceutical Factory, Linyi",,35.061671,118.299527,137,69,3,26,13,7,16,11,0,73,2,20141101010000
378,"Yihe compound, Linyi",,35.056752,118.34739,112,58,5,24,12,12,16,11,0,73,2,20141101010000
379,"Linyi University, Linyi",,35.114777,118.293414,152,61,4,18,24,13,16,11,0,73,2,20141101010000
380,City EPA,Nanfang,35.104871,118.353518,95,52,3,19,12,13,16,11,0,73,2,20141101010000
381,"Xinguang woolen factory, Linyi",,34.981004,118.282,109,57,3,20,14,14,16,11,0,73,2,20141101010000
382,"Hongfu Baijiu Factory, Linyi",,34.998788,118.257275,142,71,2,22,19,15,16,11,0,73,2,20141101010000
384,"Hedong insurance company, Linyi",,35.089354,118.40812,97,53,6,25,12,9,16,11,0,73,2,20141101010000
385,"Jianghua vehicule center, Linyi",,35.010082,118.435749,127,64,2,17,17,13,16,11,0,73,2,20141101010000
386,Linyi,,35.10428,118.362202,137,69,3,26,13,7,16,11,0,73,2,20141101010000
387,"Heima group, Dezhou",,37.466063,116.314134,177,104,4,21,6,18,12,12,1020,97,1,20141101010000
388,"Monitoring station, Dezhou",,37.433107,116.377312,200,162,9,28,12,19,12,12,1020,97,1,20141101010000
389,"Supervision Station, Dezhou",,37.449689,116.324709,244,152,11,20,7,17,12,12,1020,97,1,20141101010000
390,"Huayu technical school, Dezhou",,37.462809,116.357559,192,113,5,24,12,15,12,12,1020,97,1,20141101010000
391,"Shuangyi group, Dezhou",,37.478848,116.316362,228,125,1,28,6,17,12,12,1020,97,1,20141101010000
392,Dezhou,,37.434959,116.363366,177,104,4,21,6,18,12,12,1020,97,1,20141101010000
393,"Dongchang District Government, Liaocheng",,36.444473,115.971733,183,93,3,29,12,15,12,11,1021,86,1,20141101010000
394,"Light Machinery Factory No. 2, Liaocheng",,36.456788,116.002383,202,159,3,29,12,34,12,11,1021,86,1,20141101010000
395,"City committee communist party school, Liaocheng",,36.479537,115.989288,230,195,6,36,7,8,12,11,1021,86,1,20141101010000
396,"Customs, Liaocheng",,36.431933,115.956974,199,121,6,34,10,15,12,11,1021,86,1,20141101010000
397,"Hongshun Garden, Liaocheng",,36.471124,115.960319,185,125,1,36,10,11,12,11,1021,86,1,20141101020000
398,"BDA, Liaocheng",,36.459407,116.043621,193,128,4,22,40,17,12,11,1021,86,1,20141101020000
399,Liaocheng,,36.456792,115.991051,183,93,3,29,12,15,12,11,1021,86,1,20141101020000
400,"City EPA, Binzhou",,37.38024,118.026895,153,41,8,11,6,14,12,12,1020,100,1,20141101020000
401,"Beizhong new school, Binzhou",,37.38374,117.988996,134,66,6,11,6,14,12,12,1020,100,1,20141101020000
402,"No.2 water factory, Binzhou",,37.36155,118.002648,154,68,5,14,7,14,12,12,1020,100,1,20141101020000
403,"Keling Chemical factory, Binzhou",,37.396138,117.943609,139,58,4,13,19,13,12,12,1020,100,1,20141101020000
404,"Yinhe logistics company, Binzhou",,37.356122,117.943326,152,64,7,7,16,9,12,12,1020,100,1,20141101020000
405,"Bilin compond, Binzhou",,37.36815,117.978964,117,45,8,12,22,11,12,12,1020,95,1,20141101020000
406,Binzhou,,37.382639,117.976606,153,41,8,11,6,14,12,12,1020,100,1,20141101020000
407,"Bureau of Meteorology, Heze",,35.248625,115.428775,208,130,6,30,17,13,17,8,0,59,3,20141101020000
408,"Sewage treatment plant, Heze",,35.222517,115.531511,192,138,6,32,16,17,17,8,0,59,3,20141101020000
409,"Municipal CPPCC, Heze",,35.237125,115.480591,193,116,7,28,22,16,17,8,0,59,3,20141101020000
410,"Huarun Pharmaceutical Company, Heze",,35.261463,115.524873,197,145,8,24,21,15,17,8,0,59,3,20141101020000
411,"Heze University, Heze",,35.269706,115.460934,196,134,6,27,20,13,17,8,0,59,3,20141101020000
412,Heze,,35.233354,115.486503,208,130,6,30,17,13,17,8,0,59,3,20141101020000
413,"Shiji Park, Shijiazhuang",,38.03155,114.547873,162,88,1,31,33,24,13,7,1021,67,2,20141101020000
414,"Xinan College, Shijiazhuang",,38.012764,114.473163,144,78,2,26,21,17,13,7,1021,67,2,20141101020000
415,"Chemical College, Shijiazhuang",,38.055503,114.569816,165,124,10,30,16,22,13,7,1021,67,2,20141101020000
1246,Xinji,,37.943841,115.224111,307,198,2,32,38,22,16,7,0,53,2,20141101040000
416,"Worker hospital, Shijiazhuang",,38.051784,114.461209,144,97,1,34,45,26,13,7,1021,67,2,20141101020000
417,"Northwest Water Company, Shijiazhuang",,38.140638,114.508038,177,109,1,34,26,23,13,7,1021,67,2,20141101020000
418,"High-tech zone, Shijiazhuang",,38.040482,114.610775,159,94,1,33,36,24,13,7,1021,67,2,20141101020000
419,"Fenglong Montain, Shijiazhuang",,37.910829,114.360264,87,880,17,8,24,4,11,8,1021,82,3,20141101020000
1130,"Zhengding Unicom, Shijiazhuang",,38.159458,114.59879,210,162,2,30,23,25,13,7,1021,67,2,20141101020000
1131,"Luancheng Communications, Shijiazhuang",,37.906534,114.638785,247,164,2,43,33,23,13,7,1021,67,2,20141101020000
1132,"Gaocheng Experimental School, Shijiazhuang",,38.039518,114.867812,237,187,11,26,24,28,13,7,1021,67,2,20141101020000
1133,"Wuji EPA, Shijiazhuang",,38.17862,114.997012,320,186,2,32,40,27,13,7,1021,67,2,20141101020000
1134,"Shenze Power Supply Bureau, Shijiazhuang",,38.197674,115.219126,354,416,1,48,41,20,13,7,1021,67,2,20141101020000
1135,"Zhaoxian EPA, Shijiazhuang",,37.77171,114.775957,361,387,1,58,53,24,13,7,1021,67,2,20141101020000
1136,"Gaoyi County City Hall, Shijiazhuang",,37.623535,114.612729,336,402,1,44,60,26,13,7,1021,67,2,20141101020000
1137,"Zanhuang County City Hall, Shijiazhuang",,37.672898,114.398269,175,95,5,15,16,12,13,7,1021,67,2,20141101020000
1138,"Jingxing Bureau of Meteorology, Shijiazhuang",,38.038788,114.158406,154,82,1,29,37,20,13,7,1021,67,2,20141101020000
1139,"Pingshan Ye River, Shijiazhuang",,38.266657,114.210275,220,142,1,28,21,31,13,7,1021,67,2,20141101020000
420,Shijiazhuang,,38.042926,114.520834,137,90,1,27,32,18,13,7,1021,67,2,20141101020000
421,"No. 12 middle school, Tangshan",,39.659306,118.190271,,,,,,,-,-,0,-,-,20141101020000
422,"Ceramics Company, Tangshan",,39.669255,118.225185,340,187,3,42,10,18,13,8,1020,72,4,20141101020000
423,"Commodities Bureau, Tangshan",,39.642301,118.191265,361,248,4,36,12,20,13,8,1020,72,4,20141101020000
424,"Leidazhanzi Station, Tangshan",,39.644375,118.150383,330,220,3,34,6,20,13,8,1020,72,4,20141101020000
425,"Supply and marketing cooperatives, Tangshan",,39.632334,118.17232,311,209,6,43,10,23,13,8,1020,72,4,20141101020000
1140,"Guye District City Hall, Tangshan",,39.741379,118.460246,291,276,2,34,25,24,13,8,1020,72,4,20141101020000
1141,"Kaiping Stations, Tangshan",,39.675246,118.275149,324,440,2,41,20,14,13,8,1020,72,4,20141101020000
1142,"Fengnan District City Hall, Tangshan",,39.5834,118.097454,305,200,2,38,7,21,13,8,1020,72,4,20141101020000
1143,"Fengrun City Hall, Tangshan",,39.840355,118.175338,285,238,4,23,47,22,13,8,1020,72,4,20141101020000
1144,"Qianxi EPA, Tangshan",,40.153339,118.317265,281,193,5,45,11,31,13,8,1020,72,4,20141101020000
1145,"Caofeidian Xinli  Primary School, Tangshan",,39.291232,118.462182,328,189,2,39,9,20,13,8,1020,72,4,20141101020000
1146,"Zunhua EPA, Tangshan",,40.206249,117.997315,232,148,3,28,8,27,13,8,1020,72,4,20141101020000
1147,"Qianan No.1 middle school, Tangshan",,40.004248,118.717055,218,141,16,30,17,27,13,8,1020,72,4,20141101020000
1266,"Luannan County , Tangshan",,39.511132,118.686928,320,193,17,43,17,26,13,8,1020,72,4,20141101020000
1267,"Yutian County , Tangshan",,39.908249,117.751417,263,178,2,38,9,23,13,8,1020,72,4,20141101020000
426,Tangshan,,39.632175,118.186472,361,248,4,36,12,20,-,-,0,-,-,20141101020000
427,"City Monitoring Station, Qinhuangdao",,39.958109,119.607773,214,168,3,49,36,42,,,0,,,20141101020000
428,"Beidaihe, Qinhuangdao",,39.829209,119.53194,239,131,5,34,31,51,,,0,,,20141101020000
429,"Shanhai Pass, Qinhuangdao",,40.019298,119.767898,260,200,2,51,44,35,,,0,,,20141101020000
430,"Contruction Plazz, Qinhuangdao",,39.943187,119.542912,204,174,6,37,21,30,,,0,,,20141101020000
