locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,155,66,7,29,35,8,25,22,1014,83,2,20141101010000
1087,Foshan,,23.018995,113.126899,139,54,8,27,14,13,24,21,1014,83,1,20141101010000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,132,62,17,14,22,10,24,22,1014,89,0,20141101010000
60,Shunde,,22.80246,113.298701,144,54,13,22,25,6,-,-,0,-,-,20141101010000
61,"Donghu, Jiangmen",,22.590411,113.087351,154,78,15,23,6,5,25,23,1013,89,0,20141101010000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,164,87,5,14,6,12,25,23,1013,89,0,20141101010000
63,Jiangmen,,22.576047,113.087351,154,78,15,23,6,5,25,23,1013,89,0,20141101010000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,153,65,34,13,8,7,24,22,1014,89,0,20141101010000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,167,80,6,30,9,11,24,22,1014,89,0,20141101010000
67,Zhaoqing,,23.044571,112.470346,162,69,37,15,11,11,24,22,1014,89,0,20141101010000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,102,34,17,6,3,4,26,23,1014,83,2,20141101010000
1091,"Xiabu, Huizhou",,23.077493,114.410275,122,54,23,12,5,2,26,23,1014,83,2,20141101010000
69,"Xijiao, Huizhou",,23.338178,114.112867,102,48,3,9,4,5,26,23,1014,83,2,20141101010000
70,"Jiangbei, Huizhou",,23.111706,114.415274,134,66,23,17,5,3,26,23,1014,83,2,20141101010000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,142,53,10,22,7,7,26,23,1014,83,2,20141101010000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,107,64,6,21,5,4,26,23,1014,83,2,20141101010000
73,Huizhou,,23.109349,114.421164,134,66,23,17,5,3,26,23,1014,83,2,20141101010000
